x,y,z
-101.471876,137.028169,1.675346
-101.469106,137.317164,1.675341
-101.466050,137.606147,1.675336
-101.462712,137.895111,1.675331
-101.459093,138.184047,1.675295
-101.455207,138.472940,1.675159
-101.450986,138.761600,1.674923
-101.445848,139.048560,1.674600
-101.438655,139.330917,1.674324
-101.428593,139.606237,1.674287
-101.415371,139.873072,1.674568
-101.398882,140.130294,1.675012
-101.374971,140.425320,1.675621
-101.346754,140.705252,1.675956
-101.314961,140.972149,1.674636
-101.281355,141.230694,1.672145
-101.247372,141.485219,1.669260
-101.213913,141.739302,1.666519
-101.181229,141.996983,1.664533
-101.149059,142.261596,1.663445
-101.116512,142.535118,1.663087
-101.082496,142.818545,1.663164
-101.047032,143.112004,1.663450
-101.016499,143.363839,1.663671
-100.985204,143.621846,1.663823
-100.953694,143.885666,1.663949
-100.922426,144.154768,1.664020
-100.891518,144.428423,1.664038
-100.861164,144.705882,1.664043
-100.831709,144.986439,1.664101
-100.803429,145.269543,1.664220
-100.776586,145.554666,1.664395
-100.751399,145.841297,1.664616
-100.727950,146.129037,1.664869
-100.706276,146.417565,1.665136
-100.686425,146.706590,1.665403
-100.668434,146.995875,1.665663
-100.652323,147.285250,1.665903
-100.638103,147.574577,1.666118
-100.625778,147.863748,1.666303
-100.615358,148.152692,1.666455
-100.606884,148.441351,1.666574
-100.600440,148.729674,1.666660
-100.596090,149.017633,1.666715
-100.593860,149.305214,1.666740
-100.593746,149.592419,1.666737
-100.595712,149.879263,1.666711
-100.599717,150.165765,1.666665
-100.605729,150.451931,1.666601
-100.613701,150.737748,1.666526
-100.623592,151.023281,1.666441
-100.635374,151.308580,1.666348
-100.649026,151.593631,1.666252
-100.664544,151.878418,1.666159
-100.681923,152.162936,1.666071
-100.701132,152.447165,1.665989
-100.722128,152.731088,1.665915
-100.744866,153.014693,1.665850
-100.769265,153.297959,1.665788
-100.795190,153.580859,1.665737
-100.822468,153.863458,1.665692
-100.850872,154.145831,1.665654
-100.880151,154.428013,1.665626
-100.910080,154.710062,1.665611
-100.940453,154.992061,1.665607
-100.971065,155.274080,1.665615
-101.001744,155.556190,1.665633
-101.032346,155.838467,1.665660
-101.062743,156.120972,1.665691
-101.092832,156.403748,1.665728
-101.122535,156.686871,1.665767
-101.151759,156.970424,1.665813
-101.180241,157.254574,1.665877
-101.207543,157.539611,1.665953
-101.233304,157.825762,1.666034
-101.257353,158.113116,1.666098
-101.279760,158.401607,1.666131
-101.300746,158.691086,1.666132
-101.320519,158.981394,1.666106
-101.339275,159.272374,1.666058
-101.357215,159.563865,1.665998
-101.374502,159.855720,1.665931
-101.391257,160.147813,1.665863
-101.407583,160.440026,1.665797
-101.423532,160.732244,1.665736
-101.439112,161.024367,1.665683
-101.454334,161.316328,1.665636
-101.469199,161.608043,1.665596
-101.483695,161.899441,1.665565
-101.497841,162.190496,1.665542
-101.511706,162.481191,1.665525
-101.525349,162.771507,1.665515
-101.538790,163.061454,1.665514
-101.551956,163.351074,1.665520
-101.564711,163.640440,1.665533
-101.576945,163.929661,1.665561
-101.588543,164.219086,1.665632
-101.599287,164.509547,1.665746
-101.608956,164.801843,1.665891
-101.617407,165.096409,1.666063
-101.624483,165.393495,1.666229
-101.629967,165.693116,1.666346
-101.633657,165.994990,1.666405
-101.635396,166.298741,1.666410
-101.635075,166.604009,1.666359
-101.632672,166.910371,1.666255
-101.628236,167.217312,1.666056
-101.621838,167.524310,1.665749
-101.613556,167.830805,1.665359
