x,y
-50.649595,48.486390
-50.897628,48.663692
-51.144987,48.842163
-51.391652,49.021776
-51.637599,49.202495
-51.882812,49.384289
-52.127267,49.567148
-52.370920,49.751045
-52.613718,49.935965
-52.855646,50.121938
-53.096689,50.308996
-53.336821,50.497153
-53.576037,50.686447
-53.814347,50.876907
-54.051780,51.068526
-54.288375,51.261300
-54.523916,51.455222
-54.757807,51.650302
-54.989526,51.846603
-55.218868,52.044223
-55.445908,52.243234
-55.671046,52.443648
-55.894756,52.645435
-56.117390,52.848555
-56.339264,53.052929
-56.560640,53.258451
-56.781447,53.465055
-57.001193,53.672767
-57.219414,53.881649
-57.435848,54.091760
-57.650298,54.303058
-57.862921,54.515358
-58.074166,54.728412
-58.284391,54.942002
-58.493875,55.155919
-58.702902,55.370015
-58.911683,55.584207
-59.120324,55.798454
-59.328902,56.012742
-59.537512,56.227083
-59.746209,56.441492
-59.955006,56.655991
-60.163911,56.870617
-60.372934,57.085423
-60.582066,57.300461
-60.791299,57.515756
-61.000691,57.731155
-61.210363,57.946255
-61.420380,58.160727
-61.630752,58.374688
-61.841436,58.588366
-62.052353,58.801845
-62.263436,59.015246
-62.474604,59.228716
-62.685789,59.442346
-62.896966,59.656203
-63.108105,59.870347
-63.319170,60.084729
-63.530198,60.299047
-63.741344,60.513038
-63.952633,60.726778
-64.163990,60.940396
-64.375390,61.153932
-64.586819,61.367470
-64.798221,61.581120
-65.009556,61.794928
-65.220798,62.008915
-65.431911,62.223107
-65.642854,62.437498
-65.853628,62.652093
-66.064233,62.866902
-66.274650,63.081911
-66.484876,63.297109
-66.694912,63.512493
-66.904757,63.728052
-67.114409,63.943777
-67.323875,64.159664
-67.533162,64.375711
-67.742276,64.591920
-67.951226,64.808293
-68.160017,65.024826
-68.368657,65.241517
-68.577200,65.458428
-68.785773,65.675694
-68.994411,65.893353
-69.203089,66.111330
-69.411877,66.329381
-69.620937,66.547077
-69.830418,66.764039
-70.040434,66.980091
-70.251002,67.195339
-70.462050,67.410043
-70.673487,67.624408
-70.885216,67.838595
-71.097138,68.052774
-71.309169,68.267070
-71.521241,68.481538
-71.733318,68.696046
-71.945485,68.910227
-72.157889,69.123907
-72.370502,69.337222
