x,y
-163.916609,237.600890
-164.091055,237.837452
-164.259615,238.078360
-164.422361,238.323296
-164.579407,238.571937
-164.730889,238.823917
-164.876953,239.078902
-165.017740,239.336523
-165.153433,239.596536
-165.284206,239.858801
-165.410181,240.123033
-165.531517,240.388918
-165.648451,240.656254
-165.761296,240.924836
-165.870554,241.194456
-165.977007,241.465039
-166.081620,241.736441
-166.185529,242.008366
-166.289755,242.280612
-166.394939,242.553066
-166.501618,242.825553
-166.610312,243.097864
-166.721370,243.369877
-166.834987,243.641494
-166.951325,243.912628
-167.070476,244.183216
-167.192430,244.453107
-167.317200,244.722135
-167.444866,244.990258
-167.575441,245.257403
-167.708934,245.523408
-167.845539,245.788193
-167.985511,246.051713
-168.129028,246.313927
-168.276174,246.574783
-168.426931,246.834247
-168.581218,247.092324
-168.738879,247.348958
-168.899725,247.604067
-169.063568,247.857606
-169.230212,248.109549
-169.399464,248.359874
-169.571164,248.608522
-169.745346,248.855344
-169.922182,249.100143
-170.101862,249.342745
-170.284575,249.582911
-170.470563,249.820348
-170.659969,250.054935
-170.852724,250.286710
-171.048696,250.515648
-171.247764,250.741702
-171.449817,250.964949
-171.654750,251.185503
-171.862434,251.403413
-172.072735,251.618716
-172.285563,251.831464
-172.500846,252.041661
-172.718546,252.249302
-172.938608,252.454407
-173.161007,252.657043
-173.385733,252.857303
-173.612721,253.055270
-173.841865,253.251030
-174.073080,253.444690
-174.306259,253.636359
-174.541234,253.826110
-174.777844,254.014029
-175.016004,254.200248
-175.255646,254.384869
-175.496629,254.567925
-175.738827,254.749456
-175.982194,254.929541
-176.226546,255.108301
-176.471224,255.285996
-176.715577,255.462983
-176.959573,255.639587
-177.203377,255.816066
-177.447012,255.992706
-177.690485,256.169756
-177.933881,256.347411
-178.177208,256.525811
-178.420394,256.705016
-178.663428,256.885064
-178.906302,257.065955
-179.148994,257.247641
-179.391477,257.430018
-179.633698,257.612918
-179.875646,257.796218
-180.117325,257.979800
-180.358743,258.163510
-180.599993,258.347258
-180.841153,258.530981
-181.082222,258.714595
-181.323202,258.898087
-181.564089,259.081495
-181.804898,259.264866
-182.045633,259.448229
-182.286279,259.631638
-182.526828,259.815135
-182.767308,259.998711
-183.007744,260.182360
-183.248148,260.366075
-183.488559,260.549840
-183.729026,260.733619
-183.969671,260.917430
-184.210634,261.101308
-184.451925,261.285187
-184.693569,261.468751
-184.935667,261.651469
-185.178264,261.832895
-185.421385,262.012781
-185.665069,262.191161
-185.909285,262.368330
-186.153947,262.544573
-186.398998,262.720109
-186.644362,262.895148
-186.889931,263.069847
-187.135756,263.244411
-187.381863,263.418988
-187.628141,263.593526
-187.874617,263.767743
-188.121399,263.941384
-188.368441,264.114526
-188.615675,264.287437
-188.863135,264.460423
-189.110804,264.633809
-189.358619,264.807908
-189.606500,264.982753
-189.854335,265.158081
-190.101978,265.333650
-190.349281,265.509272
-190.596169,265.684787
-190.842680,265.860303
-191.088848,266.036207
-191.334592,266.212769
-191.579782,266.390058
-191.824326,266.567978
-192.068201,266.746336
-192.311395,266.924987
-192.553894,267.103978
-192.795722,267.283523
-193.036923,267.463807
-193.277518,267.644936
-193.517513,267.826993
-193.756926,268.009891
